Code postal 2015	Libellé poste	Population 2012 desservie par le code postal	Population 2012 desservie par le code géo PMSI	Code géographique PMSI 2015	"* Mayotte et Polynésie Française Recensement quinquennal 2012/ Wallis et Futuna Recensement quinquennal 2013/ Nouvelle-Calédonie Recensement quinquennal 2009


"
59135	WALLERS	 6 729	 6 729	59135	
59136	WAVRIN	 7 626	 7 626	59136	
59137	BUSIGNY	 2 557	 2 557	59137	
59138	PONT SUR SAMBRE	 6 093	 6 093	59138	
59139	WATTIGNIES	 14 239	 14 239	59139	
59140	DUNKERQUE	 90 995	 90 995	59140	
59240	DUNKERQUE	  0	 90 995	59140	
59430	DUNKERQUE	  0	 90 995	59140	
59640	DUNKERQUE	  0	 90 995	59140	
59141	IWUY	 4 463	 4 463	59141	
59142	VILLERS OUTREAUX	 2 121	 2 121	59142	
59143	WATTEN	 6 582	 6 582	59143	
59144	GOMMEGNIES	 6 472	 6 472	59144	
59145	BERLAIMONT	 3 419	 3 419	59145	
59146	PECQUENCOURT	 6 011	 6 011	59146	
59147	GONDECOURT	 5 028	 5 028	59147	
59148	FLINES LEZ RACHES	 5 495	 5 495	59148	
59149	COUSOLRE	 3 165	 3 165	59149	
59150	WATTRELOS	 41 633	 41 633	59150	
59151	ARLEUX	 6 402	 6 402	59151	
59152	CHERENG	 6 885	 6 885	59152	
59153	GRAND FORT PHILIPPE	 5 320	 5 320	59153	
59154	CRESPIN	 4 494	 4 494	59154	
59155	FACHES THUMESNIL	 17 476	 17 476	59155	
59156	LOURCHES	 3 881	 3 881	59156	
59157	BEAUVOIS EN CAMBRESIS	 3 344	 3 344	59157	
59158	FLINES LES MORTAGNE	 5 394	 5 394	59158	
59159	MARCOING	 2 984	 2 984	59159	
59160	CAPINGHEM	 1 670	 1 670	59160	
59161	ESCAUDOEUVRES	 5 492	 5 492	59161	
59162	OSTRICOURT	 5 378	 5 378	59162	
59163	CONDE SUR L ESCAUT	 11 009	 11 009	59163	
59164	MARPENT	 2 705	 2 705	59164	
59165	AUBERCHICOURT	 4 450	 4 450	59165	
59166	BOUSBECQUE	 4 706	 4 706	59166	
59167	LALLAING	 6 405	 6 405	59167	
59168	BOUSSOIS	 3 222	 3 222	59168	
59169	CANTIN	 5 200	 5 200	59169	
59170	CROIX	 20 664	 20 664	59170	
59171	HORNAING	 6 996	 6 996	59171	
59172	ROEULX	 4 644	 4 644	59172	
59173	RENESCURE	 5 900	 5 900	59173	
59174	LA SENTINELLE	 3 299	 3 299	59174	
59175	TEMPLEMARS	 4 843	 4 843	59175	
59176	MASNY	 6 150	 6 150	59176	
59177	SAINS DU NORD	 3 424	 3 424	59177	
59178	HASNON	 5 540	 5 540	59178	
59179	FENAIN	 5 337	 5 337	59179	
59180	CAPPELLE LA GRANDE	 8 022	 8 022	59180	
59181	STEENWERCK	 3 482	 3 482	59181	
59182	MONTIGNY EN OSTREVENT	 5 560	 5 560	59182	
59184	SAINGHIN EN WEPPES	 5 554	 5 554	59184	
59185	PROVIN	 4 183	 4 183	59185	
59186	ANOR	 3 347	 3 347	59186	
59187	DECHY	 5 207	 5 207	59187	
59188	ST AUBERT	 3 718	 3 718	59188	
59189	STEENBECQUE	 3 309	 3 309	59189	
59190	HAZEBROUCK	 29 875	 29 875	59190	
59191	LIGNY EN CAMBRESIS	 2 518	 2 518	59191	
59192	BEUVRAGES	 6 696	 6 696	59192	
59193	ERQUINGHEM LYS	 4 734	 4 734	59193	
59194	RACHES	 3 664	 3 664	59194	
59195	HERIN	 4 522	 4 522	59195	
59198	HASPRES	 2 788	 2 788	59198	
59199	HERGNIES	 5 985	 5 985	59199	
59200	TOURCOING	 92 707	 92 707	59200	
59210	COUDEKERQUE BRANCHE	 22 077	 22 077	59210	
59211	SANTES	 5 697	 5 697	59211	
59212	WIGNEHIES	 3 012	 3 012	59212	
59213	VENDEGIES SUR ECAILLON	 3 275	 3 275	59213	
59214	QUIEVY	 1 767	 1 767	59214	
59215	ABSCON	 4 276	 4 276	59215	
59216	SARS POTERIES	 2 476	 2 476	59216	
59217	CARNIERES	 2 722	 2 722	59217	
59218	POIX DU NORD	 3 278	 3 278	59218	
59219	ETROEUNGT	 2 177	 2 177	59219	
59220	DENAIN	 22 569	 22 569	59220	
59221	BAUVIN	 5 288	 5 288	59221	
59223	RONCQ	 13 366	 13 366	59223	
59224	THIANT	 3 161	 3 161	59224	
